"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"4492","London Underground",2017-02-22,2017-02-21 18:30:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,5H 30M 0S,32,1985,0,0
"4493","London Underground",2017-02-22,2017-02-21 19:40:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,4H 20M 0S,NA,NA,0,0
"4494","London Underground",2017-02-22,2017-02-22 08:45:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-8H -45M 0S,NA,NA,0,0
"4495","National Rail",2017-02-22,2017-02-22 14:00:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-14H 0M 0S,18,1999,0,0
"4496","London Underground",2017-02-22,2017-02-22 14:05:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-14H -5M 0S,27,1990,0,0
"4497","London Underground",2017-02-23,2017-02-21 18:00:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,1d 6H 0M 0S,19,1998,1,0
"4498","Docklands Light Railways",2017-02-23,2017-02-22 07:16:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,16H 44M 0S,NA,NA,0,0
"4499","National Rail",2017-02-23,2017-02-23 08:30:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-8H -30M 0S,29,1988,0,0
"4500","London Underground",2017-02-23,2017-02-23 08:55:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-8H -55M 0S,25,1992,0,0
"4501","National Rail",2017-02-23,2017-02-23 11:41:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-11H -41M 0S,NA,NA,0,0
"4502","London Underground",2017-02-23,2017-02-23 15:55:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-15H -55M 0S,47,1970,0,0
